Timestamp,Symbol,Type,Action,Price,Stop Loss,Take Profit,Result
2024-09-02T17:49:01.914Z,BTC/USDT,short,exit,58443.70,58452.70,58352.50,-24.40
2024-09-02T17:51:01.914Z,BTC/USDT,long,entry,58468.60,58443.70,58518.40,
2024-09-02T17:57:01.916Z,BTC/USDT,long,exit,58480.60,58443.70,58518.40,12.00
2024-09-02T17:59:01.917Z,BTC/USDT,short,entry,58484.60,58498.90,58456.00,
2024-09-02T18:01:01.918Z,BTC/USDT,short,exit,58514.20,58498.90,58456.00,-29.60
2024-09-02T18:02:01.918Z,BTC/USDT,long,entry,58515.60,58486.90,58573.00,
2024-09-02T18:03:01.919Z,BTC/USDT,long,exit,58466.00,58486.90,58573.00,-49.60
2024-09-02T18:04:01.919Z,BTC/USDT,short,entry,58469.90,58515.60,58378.50,
2024-09-02T18:11:01.925Z,BTC/USDT,short,exit,58514.60,58515.60,58378.50,-44.70
2024-09-02T18:12:01.924Z,BTC/USDT,long,entry,58611.90,58450.00,58935.70,
2024-09-02T18:18:01.926Z,BTC/USDT,long,exit,58492.40,58450.00,58935.70,-119.50
2024-09-02T18:19:01.927Z,BTC/USDT,short,entry,58459.20,58532.60,58312.40,
2024-09-02T18:25:01.928Z,BTC/USDT,short,exit,58508.40,58532.60,58312.40,-49.20
2024-09-02T18:31:01.931Z,BTC/USDT,long,entry,58529.10,58487.90,58611.50,
2024-09-02T18:35:01.933Z,BTC/USDT,long,exit,58480.10,58487.90,58611.50,-49.00
2024-09-02T18:37:01.935Z,BTC/USDT,short,entry,58464.50,58502.30,58388.90,
2024-09-02T18:40:01.935Z,BTC/USDT,short,exit,58509.60,58502.30,58388.90,-45.10
2024-09-02T18:41:01.936Z,BTC/USDT,long,entry,58534.60,58468.30,58667.20,
2024-09-02T18:45:01.938Z,BTC/USDT,long,exit,58435.20,58468.30,58667.20,-99.40
2024-09-02T18:46:01.939Z,BTC/USDT,short,entry,58362.10,58469.20,58147.90,
2024-09-02T18:53:01.939Z,BTC/USDT,short,exit,58350.30,58469.20,58147.90,11.80
2024-09-02T18:57:01.942Z,BTC/USDT,long,entry,58435.10,58374.70,58555.90,
2024-09-02T19:03:01.941Z,BTC/USDT,long,exit,58426.30,58374.70,58555.90,-8.80
2024-09-02T19:09:01.945Z,BTC/USDT,long,entry,58432.00,58396.20,58503.60,
2024-09-02T19:17:01.947Z,BTC/USDT,long,exit,58473.60,58396.20,58503.60,41.60
2024-09-02T19:21:01.948Z,BTC/USDT,short,entry,58442.20,58476.00,58374.60,
2024-09-02T19:26:01.948Z,BTC/USDT,short,exit,58495.50,58476.00,58374.60,-53.30
2024-09-02T19:29:01.950Z,BTC/USDT,long,entry,58483.50,58471.40,58507.70,
2024-09-02T19:32:01.949Z,BTC/USDT,long,exit,58468.40,58471.40,58507.70,-15.10
2024-09-02T19:33:01.951Z,BTC/USDT,short,entry,58457.80,58491.00,58391.40,
2024-09-02T19:37:01.951Z,BTC/USDT,short,exit,58502.80,58491.00,58391.40,-45.00
2024-09-02T19:39:01.952Z,BTC/USDT,short,entry,58403.80,58502.40,58206.60,
2024-09-02T19:46:01.954Z,BTC/USDT,short,exit,58449.30,58502.40,58206.60,-45.50
2024-09-02T19:51:01.956Z,BTC/USDT,short,entry,58402.80,58429.40,58349.60,
2024-09-02T19:54:01.958Z,BTC/USDT,short,exit,58444.90,58429.40,58349.60,-42.10
2024-09-02T19:57:01.961Z,BTC/USDT,short,entry,58393.80,58438.60,58304.20,
2024-09-02T20:02:01.962Z,BTC/USDT,short,exit,58385.00,58438.60,58304.20,8.80
2024-09-02T20:03:01.961Z,BTC/USDT,short,entry,58371.20,58437.00,58239.60,
2024-09-02T20:08:01.964Z,BTC/USDT,short,exit,58447.30,58437.00,58239.60,-76.10
2024-09-02T20:09:01.965Z,BTC/USDT,long,entry,58445.00,58422.60,58489.80,
2024-09-02T20:23:01.971Z,BTC/USDT,long,exit,58521.50,58422.60,58489.80,76.50
2024-09-02T20:27:01.973Z,BTC/USDT,short,entry,58524.10,58550.00,58472.30,
2024-09-02T20:34:01.976Z,BTC/USDT,short,exit,58544.90,58550.00,58472.30,-20.80
2024-09-02T20:35:01.975Z,BTC/USDT,long,entry,58616.40,58524.70,58799.80,
2024-09-02T20:40:01.978Z,BTC/USDT,long,exit,58551.10,58524.70,58799.80,-65.30
2024-09-02T20:41:01.978Z,BTC/USDT,short,entry,58549.80,58557.30,58534.80,
2024-09-02T20:43:01.981Z,BTC/USDT,short,exit,58593.90,58557.30,58534.80,-44.10
2024-09-02T20:47:01.981Z,BTC/USDT,long,entry,58594.50,58559.10,58665.30,
2024-09-02T21:08:01.986Z,BTC/USDT,long,exit,59112.00,58559.10,58665.30,517.50
